record_id,study_id,role,original_filename,local_path,doi,version,published_utc,retrieved_utc,bytes,repository_md5,local_sha256,license,download_url,verified
PIG-DATA-01,pidgeon-2025,raw_q_sorts,Participants Q sorts.xlsx,data/original/pidgeon-2025/Participants Q sorts.xlsx,10.25946/30122956.v1,1,2025-09-16T05:22:03Z,2026-09-12T10:52:32Z,2944651,b81d95dbdc061387d13e6ced20836ddb,eb0d9e7babeea9d3f1d5dd41cde96da1d1cde234eee5317942cb2e93c1448da1,GPL 3.0+,https://ndownloader.figshare.com/files/57946021,true
PIG-DATA-02,pidgeon-2025,analysis_workbook,Final Data review(2nd code March).xlsx,data/original/pidgeon-2025/Final Data review(2nd code March).xlsx,10.25946/30122956.v1,1,2025-09-16T05:22:03Z,2026-09-12T10:52:32Z,9574189,ebbdd30cb4d55ec44b44a455d7352629,d762621bcd4e7242bc3406e2eac3c2823b1e2cf647278ec1d4344f6068bb435a,GPL 3.0+,https://ndownloader.figshare.com/files/57946024,true
PIG-THESIS-01,pidgeon-2025,source_thesis,A Q Methodology Study of Why some people love mathematics_s12058641_D.Pidgeon (102025) .pdf,data/original/pidgeon-2025/Pidgeon_2025_thesis.pdf,10.25946/30736379,1,2025-11-28T03:14:05Z,2026-09-12T11:11:42Z,6853752,113bd0e462a5020be4f200dbef509173,91b1224e0e850cdf6d6e1e13306c9e98131847db39a7913ff85501e2f0c6285e,CQUniversity Thesis 1.0,https://ndownloader.figshare.com/files/59914529,true
